game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,captured_score_for_white,captured_score_for_black,fen_row1_white_count,fen_row2_white_count,fen_row3_white_count,fen_row4_white_count,fen_row5_white_count,fen_row6_white_count,fen_row7_white_count,fen_row8_white_count,fen_row1_white_value,fen_row2_white_value,fen_row3_white_value,fen_row4_white_value,fen_row5_white_value,fen_row6_white_value,fen_row7_white_value,fen_row8_white_value,fen_row1_black_count,fen_row2_black_count,fen_row3_black_count,fen_row4_black_count,fen_row5_black_count,fen_row6_black_count,fen_row7_black_count,fen_row8_black_count,fen_row1_black_value,fen_row2_black_value,fen_row3_black_value,fen_row4_black_value,fen_row5_black_value,fen_row6_black_value,fen_row7_black_value,fen_row8_black_value,move_sequence
5d929b08-d13a-43b2-b01d-6f36d1de2ab4,75,38,davago96,Rb1+,e1b1,e1,b1,R,White,1k6/p1p1N3/7p/2p5/6P1/b6P/5P2/1R4K1,1,0,0,0,0,0,6,6,3,4,0,0,0,1,1,0,1,0,32,28,2,1,1,1,0,0,1,0,5,1,1,1,0,0,3,0,0,0,1,0,1,1,2,1,0,0,3,0,1,1,2,0,e4|d5|exd5|Qxd5|Nc3|Qa5|d4|Nf6|Nf3|Nc6|Bc4|Bg4|h3|Bh5|g4|Bg6|Bd2|e6|Nd5|Nb4|Nxf6+|gxf6|a3|Nxc2+|Qxc2|Bxc2|Bxa5|O-O-O|O-O|Be4|Nd2|Bg6|Bc3|e5|dxe5|fxe5|Bxe5|Rg8|Nf3|Be4|Nh4|Rg5|Bf6|Rgd5|Bxd8|Rxd8|Bxf7|Be7|Be6+|Kb8|Nf5|Bf6|Rad1|Re8|Bf7|Rf8|Bh5|Bf3|Rd3|Be4|Rd7|h6|Rf7|Rxf7|Bxf7|Bxb2|Re1|Bc6|Be8|Bxa3|Bxc6|bxc6|Ne7|c5|Rb1+
5d929b08-d13a-43b2-b01d-6f36d1de2ab4,77,39,davago96,Nc6,e7c6,e7,c6,N,White,k7/p1p5/2N4p/2p5/6P1/b6P/5P2/1R4K1,0,0,0,0,0,0,6,6,3,4,0,0,0,1,1,0,1,0,32,28,2,1,1,1,0,1,0,0,5,1,1,1,0,3,0,0,0,0,1,0,1,1,2,1,0,0,3,0,1,1,2,0,e4|d5|exd5|Qxd5|Nc3|Qa5|d4|Nf6|Nf3|Nc6|Bc4|Bg4|h3|Bh5|g4|Bg6|Bd2|e6|Nd5|Nb4|Nxf6+|gxf6|a3|Nxc2+|Qxc2|Bxc2|Bxa5|O-O-O|O-O|Be4|Nd2|Bg6|Bc3|e5|dxe5|fxe5|Bxe5|Rg8|Nf3|Be4|Nh4|Rg5|Bf6|Rgd5|Bxd8|Rxd8|Bxf7|Be7|Be6+|Kb8|Nf5|Bf6|Rad1|Re8|Bf7|Rf8|Bh5|Bf3|Rd3|Be4|Rd7|h6|Rf7|Rxf7|Bxf7|Bxb2|Re1|Bc6|Be8|Bxa3|Bxc6|bxc6|Ne7|c5|Rb1+|Ka8|Nc6
5d929b08-d13a-43b2-b01d-6f36d1de2ab4,79,40,davago96,Rb8#,b1b8,b1,b8,R,White,kR6/2p5/2N4p/p1p5/6P1/b6P/5P2/6K1,1,1,0,0,1,0,6,6,3,4,0,0,0,1,1,0,1,0,32,28,1,1,1,1,0,1,0,1,0,1,1,1,0,3,0,5,0,0,1,0,2,1,1,1,0,0,3,0,2,1,1,0,e4|d5|exd5|Qxd5|Nc3|Qa5|d4|Nf6|Nf3|Nc6|Bc4|Bg4|h3|Bh5|g4|Bg6|Bd2|e6|Nd5|Nb4|Nxf6+|gxf6|a3|Nxc2+|Qxc2|Bxc2|Bxa5|O-O-O|O-O|Be4|Nd2|Bg6|Bc3|e5|dxe5|fxe5|Bxe5|Rg8|Nf3|Be4|Nh4|Rg5|Bf6|Rgd5|Bxd8|Rxd8|Bxf7|Be7|Be6+|Kb8|Nf5|Bf6|Rad1|Re8|Bf7|Rf8|Bh5|Bf3|Rd3|Be4|Rd7|h6|Rf7|Rxf7|Bxf7|Bxb2|Re1|Bc6|Be8|Bxa3|Bxc6|bxc6|Ne7|c5|Rb1+|Ka8|Nc6|a5|Rb8#
aae28e5e-ffc0-4310-bd4b-70337b563051,59,30,elshabasy2001,Rxb1+,f1b1,f1,b1,R,White,5br1/pk2pp2/2p5/8/3N1p1p/P7/5P1N/1R5K,1,0,0,0,0,0,6,9,2,6,0,0,0,1,2,0,1,1,25,26,2,2,1,1,0,0,0,0,5,4,1,3,0,0,0,0,0,0,0,2,0,1,4,2,0,0,0,2,0,1,3,8,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+
aae28e5e-ffc0-4310-bd4b-70337b563051,61,31,elshabasy2001,Nxc6,d4c6,d4,c6,N,White,k4br1/p3pp2/2N5/8/5p1p/P7/5P1N/1R5K,0,0,0,0,0,0,6,8,2,5,0,0,0,1,2,0,1,1,26,26,2,2,1,0,0,1,0,0,5,4,1,0,0,3,0,0,0,0,0,2,0,0,3,3,0,0,0,2,0,0,3,8,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6
aae28e5e-ffc0-4310-bd4b-70337b563051,63,32,elshabasy2001,Nxe7,c6e7,c6,e7,N,White,k5r1/p3Np2/7b/8/5p1p/P7/5P1N/1R5K,0,0,0,0,0,0,6,7,2,4,0,0,0,1,2,0,1,1,27,26,2,2,1,0,0,0,1,0,5,4,1,0,0,0,3,0,0,0,0,2,0,1,2,2,0,0,0,2,0,3,2,5,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7
aae28e5e-ffc0-4310-bd4b-70337b563051,65,33,elshabasy2001,Nf5,e7f5,e7,f5,N,White,k3r3/p4p2/7b/5N2/5p1p/P7/5P1N/1R5K,0,0,0,0,0,0,6,7,2,4,0,0,0,1,2,0,1,1,27,26,2,2,1,0,1,0,0,0,5,4,1,0,3,0,0,0,0,0,0,2,0,1,2,2,0,0,0,2,0,3,2,5,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5
aae28e5e-ffc0-4310-bd4b-70337b563051,67,34,elshabasy2001,Nf3,h2f3,h2,f3,N,White,k3r3/p4p2/8/5Nb1/5p1p/P4N2/5P2/1R5K,0,0,0,0,0,0,6,7,2,4,0,0,0,1,2,0,1,1,27,26,2,1,2,0,1,0,0,0,5,1,4,0,3,0,0,0,0,0,0,2,1,0,2,2,0,0,0,2,3,0,2,5,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3
aae28e5e-ffc0-4310-bd4b-70337b563051,69,35,elshabasy2001,N3xh4,f3h4,f3,h4,N,White,k3r3/p4p2/5b2/5N2/5p1N/P7/5P2/1R5K,0,0,0,0,0,0,6,6,2,3,0,0,0,1,2,0,1,1,28,26,2,1,1,1,1,0,0,0,5,1,1,3,3,0,0,0,0,0,0,1,0,1,2,2,0,0,0,1,0,3,2,5,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4
aae28e5e-ffc0-4310-bd4b-70337b563051,71,36,elshabasy2001,Nxh4,f5h4,f5,h4,N,White,k3r3/p4p2/8/8/5p1N/P7/5P2/1R5K,0,0,0,0,0,0,5,5,2,3,0,0,0,0,1,0,1,1,31,29,2,1,1,1,0,0,0,0,5,1,1,3,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,2,5,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4
aae28e5e-ffc0-4310-bd4b-70337b563051,73,37,elshabasy2001,Kg2,h1g2,h1,g2,K,White,k6r/p4p2/8/8/5p1N/P7/5PK1/1R6,0,0,0,0,0,0,5,5,2,3,0,0,0,0,1,0,1,1,31,29,1,2,1,1,0,0,0,0,5,1,1,3,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,1,0,0,2,5,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2
aae28e5e-ffc0-4310-bd4b-70337b563051,75,38,elshabasy2001,Kf3,g2f3,g2,f3,K,White,k7/p4p2/8/8/5p1r/P4K2/5P2/1R6,0,0,0,0,0,0,4,5,2,3,0,0,0,0,0,0,1,1,31,32,1,1,2,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,6,0,0,2,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3
aae28e5e-ffc0-4310-bd4b-70337b563051,77,39,elshabasy2001,Kxf4,f3f4,f3,f4,K,White,k7/p4p2/8/8/5K2/P6r/5P2/1R6,0,0,0,0,0,0,4,4,2,2,0,0,0,0,0,0,1,1,32,32,1,1,1,1,0,0,0,0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,5,0,0,0,2,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4
aae28e5e-ffc0-4310-bd4b-70337b563051,79,40,elshabasy2001,Kf5,f4f5,f4,f5,K,White,k7/p4p2/8/5K2/8/r7/5P2/1R6,0,0,0,0,0,0,3,4,1,2,0,0,0,0,0,0,1,1,32,33,1,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,5,0,0,0,2,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5
aae28e5e-ffc0-4310-bd4b-70337b563051,81,41,elshabasy2001,Pf4,f2f4,f2,f4,P,White,k7/5p2/8/p4K2/5P2/r7/8/1R6,0,0,0,0,0,0,3,4,1,2,0,0,0,0,0,0,1,1,32,33,1,0,0,1,1,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,5,0,1,0,1,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4
aae28e5e-ffc0-4310-bd4b-70337b563051,83,42,elshabasy2001,Rb4,b1b4,b1,b4,R,White,k7/5p2/8/5K2/pR3P2/r7/8/8,0,0,0,0,0,0,3,4,1,2,0,0,0,0,0,0,1,1,32,33,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,1,1,0,0,5,1,0,0,1,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4
aae28e5e-ffc0-4310-bd4b-70337b563051,85,43,elshabasy2001,Kf6,f5f6,f5,f6,K,White,8/k4p2/5K2/8/pR3P2/r7/8/8,0,0,0,0,0,0,3,4,1,2,0,0,0,0,0,0,1,1,32,33,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,1,0,0,2,0,0,0,5,1,0,0,1,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4|Ka7|Kf6
aae28e5e-ffc0-4310-bd4b-70337b563051,87,44,elshabasy2001,Kxf7,f6f7,f6,f7,K,White,8/5K2/k7/8/pR3P2/r7/8/8,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,1,1,33,33,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4|Ka7|Kf6|Ka6|Kxf7
aae28e5e-ffc0-4310-bd4b-70337b563051,89,45,elshabasy2001,Rd4,b4d4,b4,d4,R,White,8/5K2/8/k7/p2R1P2/r7/8/8,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,1,1,33,33,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,1,0,0,0,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4|Ka7|Kf6|Ka6|Kxf7|Ka5|Rd4
aae28e5e-ffc0-4310-bd4b-70337b563051,91,46,elshabasy2001,Rd5+,d4d5,d4,d5,R,White,8/5K2/8/k2R4/p4P2/5r2/8/8,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,1,1,33,33,0,0,0,1,1,0,1,0,0,0,0,1,5,0,0,0,0,0,1,1,1,0,0,0,0,0,5,1,0,0,0,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4|Ka7|Kf6|Ka6|Kxf7|Ka5|Rd4|Rf3|Rd5+
aae28e5e-ffc0-4310-bd4b-70337b563051,93,47,elshabasy2001,Pf5,f4f5,f4,f5,P,White,8/5K2/8/3R1P2/pk6/5r2/8/8,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,1,1,33,33,0,0,0,0,2,0,1,0,0,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,0,0,5,1,0,0,0,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4|Ka7|Kf6|Ka6|Kxf7|Ka5|Rd4|Rf3|Rd5+|Kb4|f5
aae28e5e-ffc0-4310-bd4b-70337b563051,95,48,elshabasy2001,Pf6,f5f6,f5,f6,P,White,8/5K2/5P2/3R4/1k6/p4r2/8/8,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,1,1,33,33,0,0,0,0,1,1,1,0,0,0,0,0,5,1,0,0,0,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4|Ka7|Kf6|Ka6|Kxf7|Ka5|Rd4|Rf3|Rd5+|Kb4|f5|a3|f6
aae28e5e-ffc0-4310-bd4b-70337b563051,97,49,elshabasy2001,Rd4+,d5d4,d5,d4,R,White,8/5K2/5P2/8/1k1R4/5r2/p7/8,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,1,1,33,33,0,0,0,1,0,1,1,0,0,0,0,5,0,1,0,0,0,1,1,1,0,0,0,0,0,1,5,0,0,0,0,0,e4|c6|Nf3|d5|exd5|cxd5|d4|Nc6|Bd3|Bg4|O-O|Nf6|c3|Qd7|Bg5|h6|Bh4|g5|Bg3|Rg8|Nbd2|h5|h3|Bxh3|gxh3|Qxh3|Nh2|h4|Be5|Nd7|Qf3|Qe6|Bf5|Ndxe5|dxe5|Qxe5|Rae1|Qf4|Qxf4|gxf4+|Kh1|d4|Be4|O-O-O|Bxc6|bxc6|cxd4|Rxd4|Ndf3|Rb4|Rc1|Kb7|a3|Rb3|Nd4|Rxb2|Rb1|Rxb1|Rxb1+|Ka8|Nxc6|Bh6|Nxe7|Re8|Nf5|Bg5|Nf3|Bf6|N3xh4|Bxh4|Nxh4|Rh8|Kg2|Rxh4|Kf3|Rh3+|Kxf4|Rxa3|Kf5|a5|f4|a4|Rb4|Ka7|Kf6|Ka6|Kxf7|Ka5|Rd4|Rf3|Rd5+|Kb4|f5|a3|f6|a2|Rd4+
